">epoch=1, lrate=0.001, train_error=0.998, train_acc=0.289, test_error=0.964, test_acc=0.336"
">epoch=2, lrate=0.001, train_error=0.944, train_acc=0.350, test_error=0.936, test_acc=0.384"
">epoch=3, lrate=0.001, train_error=0.914, train_acc=0.398, test_error=0.907, test_acc=0.421"
">epoch=4, lrate=0.001, train_error=0.884, train_acc=0.440, test_error=0.878, test_acc=0.463"
">epoch=5, lrate=0.001, train_error=0.854, train_acc=0.479, test_error=0.850, test_acc=0.495"
">epoch=6, lrate=0.001, train_error=0.825, train_acc=0.506, test_error=0.824, test_acc=0.516"
">epoch=7, lrate=0.001, train_error=0.799, train_acc=0.530, test_error=0.800, test_acc=0.526"
">epoch=8, lrate=0.001, train_error=0.776, train_acc=0.555, test_error=0.781, test_acc=0.530"
">epoch=9, lrate=0.001, train_error=0.758, train_acc=0.565, test_error=0.762, test_acc=0.549"
">epoch=10, lrate=0.001, train_error=0.737, train_acc=0.580, test_error=0.740, test_acc=0.558"
">epoch=11, lrate=0.001, train_error=0.711, train_acc=0.605, test_error=0.716, test_acc=0.581"
">epoch=12, lrate=0.001, train_error=0.689, train_acc=0.623, test_error=0.698, test_acc=0.589"
">epoch=13, lrate=0.001, train_error=0.669, train_acc=0.638, test_error=0.682, test_acc=0.594"
">epoch=14, lrate=0.001, train_error=0.650, train_acc=0.649, test_error=0.668, test_acc=0.602"
">epoch=15, lrate=0.001, train_error=0.633, train_acc=0.661, test_error=0.657, test_acc=0.611"
">epoch=16, lrate=0.001, train_error=0.619, train_acc=0.669, test_error=0.649, test_acc=0.615"
">epoch=17, lrate=0.001, train_error=0.607, train_acc=0.679, test_error=0.643, test_acc=0.620"
">epoch=18, lrate=0.001, train_error=0.598, train_acc=0.680, test_error=0.640, test_acc=0.623"
">epoch=19, lrate=0.001, train_error=0.591, train_acc=0.677, test_error=0.638, test_acc=0.625"
">epoch=20, lrate=0.001, train_error=0.587, train_acc=0.677, test_error=0.637, test_acc=0.626"
">epoch=21, lrate=0.001, train_error=0.586, train_acc=0.671, test_error=0.638, test_acc=0.626"
">epoch=22, lrate=0.001, train_error=0.588, train_acc=0.667, test_error=0.640, test_acc=0.630"
">epoch=23, lrate=0.001, train_error=0.593, train_acc=0.661, test_error=0.646, test_acc=0.632"
">epoch=24, lrate=0.001, train_error=0.601, train_acc=0.656, test_error=0.656, test_acc=0.631"
">epoch=25, lrate=0.001, train_error=0.615, train_acc=0.644, test_error=0.668, test_acc=0.623"
">epoch=26, lrate=0.001, train_error=0.631, train_acc=0.632, test_error=0.683, test_acc=0.614"
">epoch=27, lrate=0.001, train_error=0.645, train_acc=0.619, test_error=0.692, test_acc=0.608"
">epoch=28, lrate=0.001, train_error=0.645, train_acc=0.620, test_error=0.683, test_acc=0.611"
">epoch=29, lrate=0.001, train_error=0.633, train_acc=0.628, test_error=0.678, test_acc=0.610"
">epoch=30, lrate=0.001, train_error=0.621, train_acc=0.634, test_error=0.675, test_acc=0.618"
">epoch=31, lrate=0.001, train_error=0.613, train_acc=0.640, test_error=0.667, test_acc=0.621"
">epoch=32, lrate=0.001, train_error=0.607, train_acc=0.644, test_error=0.664, test_acc=0.622"
">epoch=33, lrate=0.001, train_error=0.602, train_acc=0.645, test_error=0.659, test_acc=0.620"
">epoch=34, lrate=0.001, train_error=0.597, train_acc=0.652, test_error=0.653, test_acc=0.625"
">epoch=35, lrate=0.001, train_error=0.592, train_acc=0.655, test_error=0.646, test_acc=0.626"
">epoch=36, lrate=0.001, train_error=0.589, train_acc=0.656, test_error=0.639, test_acc=0.627"
">epoch=37, lrate=0.001, train_error=0.586, train_acc=0.658, test_error=0.636, test_acc=0.634"
">epoch=38, lrate=0.001, train_error=0.584, train_acc=0.660, test_error=0.635, test_acc=0.635"
">epoch=39, lrate=0.001, train_error=0.583, train_acc=0.659, test_error=0.634, test_acc=0.635"
">epoch=40, lrate=0.001, train_error=0.583, train_acc=0.659, test_error=0.635, test_acc=0.631"
">epoch=41, lrate=0.001, train_error=0.583, train_acc=0.658, test_error=0.635, test_acc=0.634"
">epoch=42, lrate=0.001, train_error=0.583, train_acc=0.656, test_error=0.637, test_acc=0.630"
">epoch=43, lrate=0.001, train_error=0.583, train_acc=0.656, test_error=0.640, test_acc=0.631"
">epoch=44, lrate=0.001, train_error=0.583, train_acc=0.656, test_error=0.640, test_acc=0.636"
">epoch=45, lrate=0.001, train_error=0.583, train_acc=0.656, test_error=0.642, test_acc=0.641"
">epoch=46, lrate=0.001, train_error=0.584, train_acc=0.656, test_error=0.645, test_acc=0.636"
">epoch=47, lrate=0.001, train_error=0.584, train_acc=0.655, test_error=0.647, test_acc=0.636"
">epoch=48, lrate=0.001, train_error=0.585, train_acc=0.655, test_error=0.651, test_acc=0.637"
">epoch=49, lrate=0.001, train_error=0.584, train_acc=0.657, test_error=0.653, test_acc=0.635"
">epoch=50, lrate=0.001, train_error=0.582, train_acc=0.658, test_error=0.655, test_acc=0.633"
">epoch=51, lrate=0.001, train_error=0.580, train_acc=0.659, test_error=0.654, test_acc=0.632"
">epoch=52, lrate=0.001, train_error=0.578, train_acc=0.662, test_error=0.652, test_acc=0.629"
">epoch=53, lrate=0.001, train_error=0.574, train_acc=0.664, test_error=0.652, test_acc=0.626"
">epoch=54, lrate=0.001, train_error=0.571, train_acc=0.667, test_error=0.650, test_acc=0.626"
">epoch=55, lrate=0.001, train_error=0.566, train_acc=0.670, test_error=0.648, test_acc=0.624"
">epoch=56, lrate=0.001, train_error=0.562, train_acc=0.672, test_error=0.647, test_acc=0.624"
">epoch=57, lrate=0.001, train_error=0.557, train_acc=0.674, test_error=0.645, test_acc=0.625"
">epoch=58, lrate=0.001, train_error=0.551, train_acc=0.678, test_error=0.643, test_acc=0.624"
">epoch=59, lrate=0.001, train_error=0.546, train_acc=0.682, test_error=0.641, test_acc=0.623"
">epoch=60, lrate=0.001, train_error=0.539, train_acc=0.691, test_error=0.639, test_acc=0.623"
">epoch=61, lrate=0.001, train_error=0.533, train_acc=0.694, test_error=0.637, test_acc=0.622"
">epoch=62, lrate=0.001, train_error=0.528, train_acc=0.697, test_error=0.635, test_acc=0.622"
">epoch=63, lrate=0.001, train_error=0.523, train_acc=0.700, test_error=0.634, test_acc=0.623"
">epoch=64, lrate=0.001, train_error=0.519, train_acc=0.702, test_error=0.636, test_acc=0.625"
">epoch=65, lrate=0.001, train_error=0.516, train_acc=0.704, test_error=0.638, test_acc=0.623"
